Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
17-Nov-2017	sub222	922	  1	  1	  1	 0.00	  9	  2	 0.000	 0.018	 0.498	 5.704	 6.500	 5.193	2517.952	
17-Nov-2017	sub222	922	  1	  2	  1	 0.00	  7	  3	 8.270	 8.274	 8.771	12.004	14.772	 3.224	2517.952	
17-Nov-2017	sub222	922	  1	  3	  1	 0.00	  6	  1	20.015	20.011	20.509	22.896	26.510	 2.373	2517.952	
17-Nov-2017	sub222	922	  1	  4	  1	 2.00	 12	  2	32.169	32.163	32.677	37.087	38.662	 4.396	2517.952	
17-Nov-2017	sub222	922	  1	  5	  1	 0.00	  7	  1	44.110	44.116	44.614	47.581	50.615	 2.964	2517.952	
17-Nov-2017	sub222	922	  1	  6	  1	 0.00	  6	  1	55.939	55.937	56.434	58.026	62.436	 1.574	2517.952	
17-Nov-2017	sub222	922	  1	  7	  1	 2.00	  6	  3	69.027	69.034	69.531	73.659	75.533	 4.117	2517.952	
17-Nov-2017	sub222	922	  1	  8	  1	 4.00	 12	  2	78.047	78.052	78.550	83.374	84.551	 4.809	2517.952	
17-Nov-2017	sub222	922	  1	  9	  1	 2.00	  7	  3	86.913	86.905	87.419	91.531	93.421	 4.107	2517.952	
17-Nov-2017	sub222	922	  1	 10	  1	 2.00	  9	  4	95.596	95.592	96.090	99.273	102.091	 3.173	2517.952	
17-Nov-2017	sub222	922	  1	 11	  1	 2.00	  9	  4	104.158	104.164	104.661	109.104	110.662	 4.442	2517.952	
17-Nov-2017	sub222	922	  1	 12	  1	 0.00	  9	  2	113.265	113.265	113.762	117.493	119.764	 3.716	2517.952	
17-Nov-2017	sub222	922	  1	 13	  1	 2.00	  6	  3	123.707	123.710	124.207	126.859	130.208	 2.646	2517.952	
17-Nov-2017	sub222	922	  1	 14	  1	 4.00	 12	  4	135.732	135.729	136.226	139.956	142.228	 3.715	2517.952	
17-Nov-2017	sub222	922	  1	 15	  1	 2.00	  7	  3	147.519	147.516	148.014	150.285	154.015	 2.255	2517.952	
17-Nov-2017	sub222	922	  1	 16	  1	 2.00	  7	  3	156.844	156.850	157.347	159.536	163.349	 2.177	2517.952	
17-Nov-2017	sub222	922	  1	 17	  1	 4.00	 12	  4	166.587	166.581	167.095	168.820	173.080	 1.708	2517.952	
17-Nov-2017	sub222	922	  1	 18	  1	 0.00	  7	  1	177.194	177.192	177.689	180.275	183.690	 2.578	2517.952	
17-Nov-2017	sub222	922	  1	 19	  1	 2.00	  6	  3	186.832	186.840	187.338	189.194	193.339	 1.849	2517.952	
17-Nov-2017	sub222	922	  1	 20	  1	 2.00	 12	  2	194.992	194.997	195.494	199.224	201.496	 3.716	2517.952	
17-Nov-2017	sub222	922	  1	 21	  1	 2.00	  9	  4	207.331	207.331	207.829	210.846	213.830	 3.013	2517.952	
17-Nov-2017	sub222	922	  1	 22	  1	 2.00	 12	  2	219.535	219.533	220.030	222.583	226.032	 2.547	2517.952	
17-Nov-2017	sub222	922	  1	 23	  1	 4.00	 12	  4	230.726	230.723	231.221	233.409	237.222	 2.180	2517.952	
17-Nov-2017	sub222	922	  1	 24	  1	 0.00	  9	  2	239.293	239.295	239.792	244.600	245.793	 4.793	2517.952	
17-Nov-2017	sub222	922	  1	 25	  1	 2.00	 12	  2	250.510	250.518	251.016	252.607	257.017	 1.584	2517.952	
17-Nov-2017	sub222	922	  1	 26	  1	 0.00	  6	  1	259.919	259.918	260.415	261.791	266.417	 1.368	2517.952	
17-Nov-2017	sub222	922	  1	 27	  1	 4.00	 12	  4	268.279	268.274	268.788	272.402	274.772	 3.604	2517.952	
17-Nov-2017	sub222	922	  1	 28	  1	 2.00	 12	  2	279.436	279.431	279.928	281.337	285.930	 1.398	2517.952	
17-Nov-2017	sub222	922	  1	 29	  1	 2.00	  6	  3	288.890	288.897	289.395	291.467	295.396	 2.068	2517.952	
17-Nov-2017	sub222	922	  1	 30	  1	 0.00	  6	  1	299.075	299.076	299.574	301.082	305.575	 1.496	2517.952	
17-Nov-2017	sub222	922	  1	 31	  1	 2.00	  6	  3	307.251	307.250	307.747	309.654	313.748	 1.890	2517.952	
17-Nov-2017	sub222	922	  1	 32	  1	 2.00	  9	  4	319.181	319.186	319.683	323.812	325.685	 4.121	2517.952	
17-Nov-2017	sub222	922	  1	 33	  1	 0.00	  7	  1	330.624	330.625	331.123	332.383	337.124	 1.258	2517.952	
17-Nov-2017	sub222	922	  1	 34	  1	 2.00	  9	  4	343.650	343.656	344.153	346.773	350.155	 2.602	2517.952	
17-Nov-2017	sub222	922	  1	 35	  1	 0.00	  9	  2	354.025	354.017	354.531	356.421	360.533	 1.874	2517.952	
17-Nov-2017	sub222	922	  1	 36	  1	 4.00	 12	  4	362.165	362.158	362.671	364.694	368.673	 2.011	2517.952	
17-Nov-2017	sub222	922	  1	 37	  1	 2.00	  7	  3	375.072	375.072	375.569	378.205	381.571	 2.633	2517.952	
17-Nov-2017	sub222	922	  1	 38	  1	 2.00	  9	  4	387.300	387.307	387.804	391.385	393.806	 3.573	2517.952	
17-Nov-2017	sub222	922	  1	 39	  1	 2.00	  6	  3	396.505	396.508	397.005	399.409	403.007	 2.388	2517.952	
17-Nov-2017	sub222	922	  1	 40	  1	 2.00	  7	  3	408.021	408.013	408.527	413.667	414.529	 5.137	2517.952	
17-Nov-2017	sub222	922	  1	 41	  1	 0.00	  6	  1	417.538	417.546	418.043	419.436	424.045	 1.390	2517.952	
17-Nov-2017	sub222	922	  1	 42	  1	 2.00	 12	  2	429.592	429.599	430.096	431.853	436.097	 1.752	2517.952	
17-Nov-2017	sub222	922	  1	 43	  1	 0.00	  7	  1	439.608	439.612	440.109	442.132	446.111	 2.018	2517.952	
17-Nov-2017	sub222	922	  1	 44	  1	 4.00	 12	  4	449.005	449.012	449.509	450.952	455.511	 1.434	2517.952	
17-Nov-2017	sub222	922	  1	 45	  1	 2.00	  9	  4	458.399	458.395	458.893	462.092	464.894	 3.193	2517.952	
17-Nov-2017	sub222	922	  1	 46	  1	 0.00	  7	  1	470.719	470.713	471.227	472.951	477.212	 1.715	2517.952	
17-Nov-2017	sub222	922	  1	 47	  1	 0.00	  9	  2	481.434	481.439	481.937	485.650	487.938	 3.708	2517.952	
17-Nov-2017	sub222	922	  1	 48	  1	 0.00	  9	  2	489.505	489.513	490.011	493.160	496.012	 3.139	2517.952	
17-Nov-2017	sub222	922	  1	 49	  1	 4.00	 12	  4	501.712	501.715	502.212	504.931	508.214	 2.712	2517.952	
17-Nov-2017	sub222	922	  1	 50	  1	 0.00	  6	  1	514.923	514.928	515.425	516.586	521.427	 1.146	2517.952	
17-Nov-2017	sub222	922	  1	 51	  1	 0.00	  6	  1	522.475	522.471	522.969	524.477	528.970	 1.499	2517.952	
17-Nov-2017	sub222	922	  1	 52	  1	 0.00	  9	  2	534.335	534.341	534.839	536.861	540.840	 2.013	2517.952	
17-Nov-2017	sub222	922	  1	 53	  1	 0.00	  7	  1	543.643	543.642	544.139	545.946	550.141	 1.792	2517.952	
17-Nov-2017	sub222	922	  1	 54	  1	 2.00	  6	  3	554.447	554.451	554.948	557.087	560.950	 2.126	2517.952	
17-Nov-2017	sub222	922	  1	 55	  1	 2.00	 12	  2	562.761	562.757	563.254	566.586	569.256	 3.316	2517.952	
17-Nov-2017	sub222	922	  1	 56	  1	 0.00	  6	  1	571.889	571.892	572.389	574.113	578.390	 1.717	2517.952	
17-Nov-2017	sub222	922	  1	 57	  1	 4.00	 12	  4	584.365	584.359	584.872	586.331	590.857	 1.456	2517.952	
17-Nov-2017	sub222	922	  1	 58	  1	 2.00	  9	  4	594.521	594.521	595.019	599.130	601.020	 4.110	2517.952	
17-Nov-2017	sub222	922	  1	 59	  1	 0.00	  7	  1	602.020	602.015	602.529	604.153	608.513	 1.608	2517.952	
17-Nov-2017	sub222	922	  1	 60	  1	 2.00	  7	  3	609.962	609.956	610.470	612.194	616.454	 1.723	2517.952	
17-Nov-2017	sub222	922	  1	 61	  1	 4.00	 12	  4	622.707	622.705	623.202	625.357	629.203	 2.150	2517.952	
17-Nov-2017	sub222	922	  1	 62	  1	 2.00	  6	  3	635.109	635.105	635.603	637.476	641.604	 1.860	2517.952	
17-Nov-2017	sub222	922	  1	 63	  1	 0.00	  6	  1	646.000	645.997	646.495	647.572	652.496	 1.063	2517.952	
17-Nov-2017	sub222	922	  1	 64	  1	 0.00	  9	  2	655.456	655.464	655.961	657.586	661.962	 1.621	2517.952	
17-Nov-2017	sub222	922	  1	 65	  1	 2.00	  7	  3	667.404	667.400	667.897	669.373	673.899	 1.460	2517.952	
17-Nov-2017	sub222	922	  1	 66	  1	 2.00	  9	  4	679.119	679.121	679.618	681.691	685.620	 2.058	2517.952	
17-Nov-2017	sub222	922	  1	 67	  1	 0.00	  9	  2	688.211	688.206	688.703	690.179	694.705	 1.469	2517.952	
17-Nov-2017	sub222	922	  1	 68	  1	 2.00	  6	  3	700.904	700.905	701.402	704.237	707.404	 2.818	2517.952	
17-Nov-2017	sub222	922	  1	 69	  1	 4.00	 12	  2	714.281	714.284	714.781	719.175	720.783	 4.390	2517.952	
17-Nov-2017	sub222	922	  1	 70	  1	 0.00	  7	  1	723.893	723.899	724.397	725.889	730.398	 1.478	2517.952	
17-Nov-2017	sub222	922	  1	 71	  1	 0.00	  7	  1	735.470	735.471	735.969	737.792	741.970	 1.817	2517.952	
17-Nov-2017	sub222	922	  1	 72	  1	 2.00	  7	  3	743.418	743.412	743.926	745.717	749.911	 1.779	2517.952	
17-Nov-2017	sub222	922	  1	  1	  2	 2.00	  6	  3	 0.000	 0.004	 0.501	 4.629	 6.502	 4.115	3302.721	
17-Nov-2017	sub222	922	  1	  2	  2	 0.00	  6	  1	10.465	10.465	10.962	12.305	16.963	 1.340	3302.721	
17-Nov-2017	sub222	922	  1	  3	  2	 0.00	  9	  2	18.462	18.456	18.969	22.252	24.954	 3.277	3302.721	
17-Nov-2017	sub222	922	  1	  4	  2	 4.00	 12	  4	30.796	30.790	31.304	32.912	37.289	 1.598	3302.721	
17-Nov-2017	sub222	922	  1	  5	  2	 0.00	  7	  1	43.034	43.041	43.539	44.981	49.540	 1.435	3302.721	
17-Nov-2017	sub222	922	  1	  6	  2	 2.00	  9	  4	51.611	51.612	52.110	55.459	58.111	 3.343	3302.721	
17-Nov-2017	sub222	922	  1	  7	  2	 2.00	 12	  2	64.051	64.046	64.544	67.975	70.545	 3.421	3302.721	
17-Nov-2017	sub222	922	  1	  8	  2	 4.00	 12	  4	74.566	74.574	75.071	76.696	81.072	 1.613	3302.721	
17-Nov-2017	sub222	922	  1	  9	  2	 2.00	  7	  3	84.269	84.272	84.769	88.035	90.771	 3.250	3302.721	
17-Nov-2017	sub222	922	  1	 10	  2	 2.00	  9	  4	92.684	92.677	93.191	96.905	99.193	 3.700	3302.721	
17-Nov-2017	sub222	922	  1	 11	  2	 4.00	 12	  4	101.482	101.480	101.978	103.752	107.979	 1.769	3302.721	
17-Nov-2017	sub222	922	  1	 12	  2	 0.00	  9	  2	112.619	112.621	113.119	116.136	119.120	 3.004	3302.721	
17-Nov-2017	sub222	922	  1	 13	  2	 0.00	  7	  1	120.698	120.695	121.192	122.734	127.194	 1.537	3302.721	
17-Nov-2017	sub222	922	  1	 14	  2	 4.00	 12	  4	130.751	130.758	131.255	132.714	137.257	 1.450	3302.721	
17-Nov-2017	sub222	922	  1	 15	  2	 2.00	 12	  2	141.733	141.733	142.230	144.767	148.232	 2.531	3302.721	
17-Nov-2017	sub222	922	  1	 16	  2	 2.00	  7	  3	153.757	153.752	154.250	158.560	160.251	 4.302	3302.721	
17-Nov-2017	sub222	922	  1	 17	  2	 0.00	  6	  1	162.020	162.025	162.522	166.485	168.524	 3.958	3302.721	
17-Nov-2017	sub222	922	  1	 18	  2	 2.00	  9	  4	171.409	171.408	171.906	173.481	177.907	 1.558	3302.721	
17-Nov-2017	sub222	922	  1	 19	  2	 0.00	  6	  1	179.441	179.449	179.946	181.339	185.948	 1.381	3302.721	
17-Nov-2017	sub222	922	  1	 20	  2	 2.00	  6	  3	190.021	190.026	190.523	192.049	196.525	 1.524	3302.721	
17-Nov-2017	sub222	922	  1	 21	  2	 2.00	 12	  2	200.889	200.885	201.382	203.604	207.384	 2.216	3302.721	
17-Nov-2017	sub222	922	  1	 22	  2	 4.00	 12	  4	210.809	210.815	211.313	212.556	217.314	 1.229	3302.721	
17-Nov-2017	sub222	922	  1	 23	  2	 0.00	  7	  1	222.904	222.901	223.398	227.427	229.400	 4.014	3302.721	
17-Nov-2017	sub222	922	  1	 24	  2	 0.00	  9	  2	232.261	232.268	232.765	234.904	238.767	 2.128	3302.721	
17-Nov-2017	sub222	922	  1	 25	  2	 2.00	  9	  4	244.432	244.437	244.934	248.051	250.935	 3.110	3302.721	
17-Nov-2017	sub222	922	  1	 26	  2	 2.00	  7	  3	255.540	255.544	256.041	257.732	262.043	 1.683	3302.721	
17-Nov-2017	sub222	922	  1	 27	  2	 0.00	  7	  1	268.923	268.923	269.420	272.404	275.422	 2.967	3302.721	
17-Nov-2017	sub222	922	  1	 28	  2	 2.00	  6	  3	281.337	281.340	281.838	284.838	287.839	 2.989	3302.721	
17-Nov-2017	sub222	922	  1	 29	  2	 2.00	  9	  4	289.370	289.364	289.878	291.370	295.863	 1.477	3302.721	
17-Nov-2017	sub222	922	  1	 30	  2	 0.00	  9	  2	301.985	301.980	302.478	303.821	308.479	 1.332	3302.721	
17-Nov-2017	sub222	922	  1	 31	  2	 2.00	 12	  2	310.457	310.452	310.949	312.740	316.951	 1.780	3302.721	
17-Nov-2017	sub222	922	  1	 32	  2	 4.00	 12	  4	320.958	320.963	321.460	325.091	327.461	 3.621	3302.721	
17-Nov-2017	sub222	922	  1	 33	  2	 2.00	  9	  4	328.913	328.920	329.418	330.910	335.419	 1.479	3302.721	
17-Nov-2017	sub222	922	  1	 34	  2	 2.00	  9	  4	338.109	338.105	338.602	340.177	344.604	 1.566	3302.721	
17-Nov-2017	sub222	922	  1	 35	  2	 0.00	  7	  1	350.009	350.008	350.505	351.732	356.507	 1.214	3302.721	
17-Nov-2017	sub222	922	  1	 36	  2	 2.00	  7	  3	358.613	358.612	359.110	363.470	365.111	 4.354	3302.721	
17-Nov-2017	sub222	922	  1	 37	  2	 0.00	  9	  2	367.529	367.532	368.029	370.217	374.030	 2.178	3302.721	
17-Nov-2017	sub222	922	  1	 38	  2	 2.00	  6	  3	380.053	380.048	380.546	382.087	386.547	 1.525	3302.721	
17-Nov-2017	sub222	922	  1	 39	  2	 0.00	  9	  2	390.470	390.476	390.974	392.399	396.975	 1.424	3302.721	
17-Nov-2017	sub222	922	  1	 40	  2	 0.00	  6	  1	403.340	403.341	403.838	409.094	409.840	 5.239	3302.721	
17-Nov-2017	sub222	922	  1	 41	  2	 0.00	  7	  1	415.499	415.493	416.007	417.814	421.992	 1.806	3302.721	
17-Nov-2017	sub222	922	  1	 42	  2	 2.00	  7	  3	427.237	427.231	427.745	429.203	433.729	 1.452	3302.721	
17-Nov-2017	sub222	922	  1	 43	  2	 0.00	  6	  1	440.073	440.079	440.576	441.571	446.578	 0.987	3302.721	
17-Nov-2017	sub222	922	  1	 44	  2	 2.00	  7	  3	449.546	449.545	450.043	452.430	456.044	 2.384	3302.721	
17-Nov-2017	sub222	922	  1	 45	  2	 4.00	 12	  4	461.119	461.117	461.614	463.521	467.616	 1.901	3302.721	
17-Nov-2017	sub222	922	  1	 46	  2	 0.00	  6	  1	469.101	469.108	469.605	470.915	475.607	 1.293	3302.721	
17-Nov-2017	sub222	922	  1	 47	  2	 2.00	  6	  3	476.966	476.966	477.463	479.436	483.465	 1.970	3302.721	
17-Nov-2017	sub222	922	  1	 48	  2	 2.00	  9	  4	488.370	488.372	488.869	490.709	494.871	 1.828	3302.721	
17-Nov-2017	sub222	922	  1	 49	  2	 2.00	 12	  2	498.204	498.203	498.700	500.507	504.702	 1.797	3302.721	
17-Nov-2017	sub222	922	  1	 50	  2	 0.00	  9	  2	505.932	505.929	506.426	509.410	512.427	 2.975	3302.721	
17-Nov-2017	sub222	922	  1	 51	  2	 0.00	  6	  1	515.775	515.776	516.273	518.644	522.275	 2.367	3302.721	
17-Nov-2017	sub222	922	  1	 52	  2	 0.00	  7	  1	526.535	526.536	527.033	528.475	533.034	 1.439	3302.721	
17-Nov-2017	sub222	922	  1	 53	  2	 0.00	  6	  1	538.488	538.489	538.986	540.080	544.987	 1.085	3302.721	
17-Nov-2017	sub222	922	  1	 54	  2	 2.00	 12	  2	549.643	549.646	550.143	553.343	556.145	 3.184	3302.721	
17-Nov-2017	sub222	922	  1	 55	  2	 4.00	 12	  4	557.417	557.421	557.919	562.146	563.920	 4.223	3302.721	
17-Nov-2017	sub222	922	  1	 56	  2	 2.00	  6	  3	568.961	568.960	569.457	570.850	575.459	 1.388	3302.721	
17-Nov-2017	sub222	922	  1	 57	  2	 2.00	  7	  3	582.361	582.355	582.869	587.627	588.854	 4.752	3302.721	
17-Nov-2017	sub222	922	  1	 58	  2	 0.00	  9	  2	591.740	591.739	592.236	593.745	598.237	 1.505	3302.721	
17-Nov-2017	sub222	922	  1	 59	  2	 0.00	  6	  1	604.306	604.305	604.802	606.742	610.804	 1.930	3302.721	
17-Nov-2017	sub222	922	  1	 60	  2	 2.00	 12	  2	617.814	617.817	618.314	621.795	624.315	 3.465	3302.721	
17-Nov-2017	sub222	922	  1	 61	  2	 2.00	  7	  3	631.259	631.262	631.759	633.201	637.760	 1.428	3302.721	
17-Nov-2017	sub222	922	  1	 62	  2	 2.00	  9	  4	643.052	643.049	643.546	645.154	649.548	 1.601	3302.721	
17-Nov-2017	sub222	922	  1	 63	  2	 0.00	  7	  1	651.950	651.952	652.449	654.007	658.450	 1.553	3302.721	
17-Nov-2017	sub222	922	  1	 64	  2	 2.00	 12	  2	663.024	663.026	663.523	666.060	669.525	 2.534	3302.721	
17-Nov-2017	sub222	922	  1	 65	  2	 2.00	  6	  3	670.910	670.917	671.415	674.084	677.416	 2.667	3302.721	
17-Nov-2017	sub222	922	  1	 66	  2	 2.00	  7	  3	683.232	683.235	683.732	686.236	689.734	 2.501	3302.721	
17-Nov-2017	sub222	922	  1	 67	  2	 0.00	  9	  2	692.823	692.817	693.331	695.056	699.316	 1.717	3302.721	
17-Nov-2017	sub222	922	  1	 68	  2	 2.00	  6	  3	705.684	705.682	706.180	708.219	712.181	 2.036	3302.721	
17-Nov-2017	sub222	922	  1	 69	  2	 2.00	 12	  2	718.492	718.498	718.995	720.669	724.996	 1.661	3302.721	
17-Nov-2017	sub222	922	  1	 70	  2	 2.00	  6	  3	727.351	727.350	727.848	730.766	733.849	 2.906	3302.721	
17-Nov-2017	sub222	922	  1	 71	  2	 4.00	 12	  4	737.279	737.281	737.778	739.569	743.780	 1.780	3302.721	
17-Nov-2017	sub222	922	  1	 72	  2	 0.00	  7	  1	748.130	748.123	748.637	749.781	754.639	 1.136	3302.721	
