Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
13-Oct-2017	sub204	902	  1	  1	  1	 0.00	  9	  2	 0.000	 0.018	 0.499	 0.000	 6.500	 0.000	14625.089	
13-Oct-2017	sub204	902	  1	  2	  1	 2.00	  7	  3	 8.270	 8.274	 8.772	14.359	14.773	 5.584	14625.089	
13-Oct-2017	sub204	902	  1	  3	  1	 0.00	  6	  1	20.015	20.012	20.509	25.301	26.511	 4.790	14625.089	
13-Oct-2017	sub204	902	  1	  4	  1	 6.00	 12	  2	32.169	32.164	32.662	38.298	38.663	 5.621	14625.089	
13-Oct-2017	sub204	902	  1	  5	  1	 0.00	  7	  1	44.110	44.117	44.615	 0.000	50.616	 0.000	14625.089	
13-Oct-2017	sub204	902	  1	  6	  1	 2.00	  6	  1	55.939	55.938	56.435	59.105	62.437	 2.663	14625.089	
13-Oct-2017	sub204	902	  1	  7	  1	 2.00	  6	  3	69.027	69.035	69.533	73.296	75.534	 3.749	14625.089	
13-Oct-2017	sub204	902	  1	  8	  1	 4.00	 12	  2	78.047	78.054	78.551	83.376	84.553	 4.818	14625.089	
13-Oct-2017	sub204	902	  1	  9	  1	 0.00	  7	  3	86.913	86.907	87.421	 0.000	93.422	 0.000	14625.089	
13-Oct-2017	sub204	902	  1	 10	  1	 2.00	  9	  4	95.596	95.594	96.092	98.297	102.093	 2.197	14625.089	
13-Oct-2017	sub204	902	  1	 11	  1	 4.00	  9	  4	104.158	104.165	104.663	107.763	110.664	 3.098	14625.089	
13-Oct-2017	sub204	902	  1	 12	  1	 6.00	  9	  2	113.265	113.267	113.765	119.501	119.766	 5.724	14625.089	
13-Oct-2017	sub204	902	  1	 13	  1	 0.00	  6	  3	123.707	123.712	124.209	129.680	130.211	 5.455	14625.089	
13-Oct-2017	sub204	902	  1	 14	  1	 2.00	 12	  4	135.732	135.731	136.229	140.174	142.230	 3.931	14625.089	
13-Oct-2017	sub204	902	  1	 15	  1	 2.00	  7	  3	147.519	147.519	148.016	153.073	154.018	 5.055	14625.089	
13-Oct-2017	sub204	902	  1	 16	  1	 2.00	  7	  3	156.844	156.853	157.350	162.224	163.351	 4.865	14625.089	
13-Oct-2017	sub204	902	  1	 17	  1	 2.00	 12	  4	166.587	166.584	167.082	172.105	173.083	 5.012	14625.089	
13-Oct-2017	sub204	902	  1	 18	  1	 4.00	  7	  1	177.194	177.195	177.692	182.085	183.693	 4.378	14625.089	
13-Oct-2017	sub204	902	  1	 19	  1	 4.00	  6	  3	186.832	186.827	187.341	191.718	193.326	 4.370	14625.089	
13-Oct-2017	sub204	902	  1	 20	  1	 2.00	 12	  2	194.992	195.000	195.497	199.791	201.499	 4.285	14625.089	
13-Oct-2017	sub204	902	  1	 21	  1	 4.00	  9	  4	207.331	207.335	207.832	213.701	213.834	 5.854	14625.089	
13-Oct-2017	sub204	902	  1	 22	  1	 0.00	 12	  2	219.535	219.537	220.034	222.736	226.035	 2.699	14625.089	
13-Oct-2017	sub204	902	  1	 23	  1	 0.00	 12	  4	230.726	230.727	231.225	235.203	237.226	 3.972	14625.089	
13-Oct-2017	sub204	902	  1	 24	  1	 2.00	  9	  2	239.293	239.298	239.796	244.289	245.797	 4.480	14625.089	
