"subjid","alpha11","alpha12","theta11","theta12","beta11","beta12","tau"
9151,2.01272912845855,1.14646364044784,0.584257423157976,0.12078823479186,1.08998272091041,0.903843630218429,1.71535305367819
9101,0.752056520187058,1.06301554310436,0.643512471203175,0.716838539807406,0.96792155535158,0.924876966983819,5.4892374669027
9141,0.338859306826927,0.707508180203616,0.451510376485818,0.00256928048053159,0.982818267975056,1.28056689828436,0.422381614898829
9111,0.952479204239295,1.1654770264402,0.490132925662754,0.614063822881889,1.22749024192325,1.19255990991381,1.16791203022342
9231,1.90502373956536,1.09893384980017,0.447764432295608,0.235304987847007,1.19178422420672,1.13222386973462,0.700903934609814
9181,0.625351174066706,3.12321126998562,0.324043182784203,-0.225216521859357,1.95927854923653,1.00609010336194,0.757061050459795
9221,0.813274618400874,1.27494505954195,0.620260833144273,0.0817795152963885,1.0320104911379,0.8867494828933,0.677871472850247
9311,1.06153389954061,2.15441675983995,-0.0536700473388189,-0.308677150710854,1.39631709609053,1.57355546352592,0.438519347444651
9261,0.48512633324876,0.933387508199337,0.376447994479596,-0.291655957765594,0.642744612335087,1.21998819208052,1.67088792889672
9301,1.03615385853748,1.21297617982452,0.699291198728099,0.139451224749299,1.18500521071886,0.866524385947155,2.04407000986123
9071,1.22743739727778,1.49807505536733,0.55336918598884,0.170460423000057,1.18684018686371,1.07298026819749,1.24078475196444
9271,0.310617642182741,0.831956682662541,0.595089216375561,-0.369482297380292,1.57790772928336,0.826692474660932,1.74289031347964
9391,1.41204727008336,2.22360696427804,0.402122435325898,0.300794381076708,0.944514647652275,0.953121945739183,1.42320030408108
9351,0.806924051493338,0.756791228127422,0.486607590369369,0.595079500843425,1.42047721558078,1.386971838528,0.428416757537362
9341,0.588826194066923,0.664050430659549,0.473416165997791,0.848780778746521,1.38161325478929,1.25516418818876,1.00494405810287
9381,0.352109975952582,0.708382486671871,0.558015965163909,-0.256210963652539,0.803481990590388,1.04465384458289,1.49704711621156
9021,0.392474404728503,1.67962481903617,0.567497537454398,-0.634559647861192,0.868173209712474,1.12356391327076,2.65432662409588
9061,0.685879946367184,0.947147824430416,0.639951461943488,0.468823980879323,1.29771000418089,1.20077309538117,1.0465708712904
9031,0.337533689098637,0.620238846085871,0.321987068010998,1.02212781146397,1.66489986072893,0.976068157881173,1.55111165744943
909,0.522739109706524,1.24855275490618,0.328737400603628,0.912774323100612,1.11034082699319,0.840969765809944,1.89767963658426
916,0.406785966764495,0.437754379458608,0.645349474518453,0.727154263305184,1.20451787308928,1.1819097251215,2.19822180779428
913,1.03024783005949,1.08608470228705,0.659880975962363,0.759450924381933,0.83904166353469,0.843810554133438,13.6330232240411
920,0.394402823707703,0.992561641868944,0.61147236664342,-0.118776918834688,1.92184030487239,1.87360947607977,2.54700290180832
917,0.772080070508659,1.45167544654032,0.396657553992349,0.663742784202988,1.09354820043763,0.798425748190685,1.13054165714312
904,0.796336754029743,1.40717358060439,0.490371823946391,0.77643580883483,1.01329928896847,1.04478427829423,2.80623201852793
924,0.405011734903225,2.45883392526914,0.577740556003173,-0.107710842546998,1.77055592627986,1.55025092378064,1.69279182157429
921,0.31292666240181,1.96082769734767,0.569094458665632,0.000463988751343914,2.51051906165854,1.48062129211578,0.741237772003878
928,1.45223797603976,1.49356870545,0.584989402757665,0.295423722026176,2.19252050522264,2.21901235712867,2.93887970052378
925,0.531253114500175,0.578873243221601,0.604573217189575,0.772793198055031,1.00263780445339,0.954868140056364,2.85059624209584
932,0.380331940858598,0.711781436377449,0.660299495926359,0.9906276543694,2.21041378787359,2.23227893244191,3.57621226677134
929,1.26214637612045,1.1691798660413,0.55080618700359,0.462406725941543,0.722762294697982,0.756693527132054,1.55593747890976
933,1.18229122882674,1.6682248551186,0.492257270987826,-0.0729609398156442,1.01071894668024,1.00211944779296,0.619639766626701
937,1.47124490202348,1.13029872119535,0.587017743742287,0.153278594533981,1.06472234431813,0.948495228420944,1.18425357491621
901,0.485947952417094,0.705252996439353,0.595814541273092,0.626733813717983,1.18128222533475,0.983278317310242,0.951577472933989
936,0.676067348654533,1.14336366622759,0.562308025673125,0.484688593777807,1.93970285158556,1.90722629641566,0.777028082847174
908,0.909330078568285,2.02398243116452,0.384796886428246,-0.537536406801314,1.43933502308022,0.959766326208495,0.651450759189845
905,0.997566095670427,1.30168828691992,0.655581587214887,0.346477650267208,1.16310245581181,0.760958827020042,2.60528460284737
912,0.342837954464045,1.33914163447366,0.58954216597629,0.430262902413038,2.27422463762012,1.74423176031783,0.695969771951875
915,0.577182797639718,0.712103396674697,0.465459041888539,-0.216422384061617,0.536440717264214,1.46072556401093,1.7454632724727
910,0.530301135594308,0.628292222104987,0.624504485282474,0.77711935324257,0.958611010650839,0.954168165943411,3.30355788768206
914,0.427680862322606,0.860487759259147,0.562765752808595,0.838904279026626,1.66032270607556,1.28362197860838,1.75947610648954
923,0.572580151656348,0.943443995686503,0.688406690274041,-0.141160647357637,1.9205248319697,0.931174554769078,0.422650042458633
918,0.78454254333331,1.62465039805171,0.556134361783069,0.0185530254781606,1.4340149050745,1.11383484030729,0.725810472832793
922,0.458274129387938,1.96211835072425,0.617711879561437,-0.0742344151186778,1.96872840642298,1.52400401066635,1.28532742675943
919,1.50976344770936,2.77868619292427,0.343848125907144,0.294923330483472,0.761743494048532,0.99953748246093,1.37249453057514
931,0.381790813603786,1.23214322465148,0.613857417577275,-0.269353399421784,2.02039999111576,1.14728724340401,2.80785016605373
926,2.1272647180134,1.76750427117672,0.39425845925321,0.353459580427887,1.07076457746332,1.07180320988432,2.34503979273225
930,0.671778574100096,1.02593779714927,0.565548201238649,0.740439600100243,1.74095456214785,1.98885471178874,1.82832381888527
907,2.82469888600538,1.46522521303926,0.399562354934909,0.373588487894735,1.06923440459024,0.769135393775504,2.50747096231344
927,1.20778676566859,1.27380716820218,0.576997683098717,0.648986410867756,1.03591000824049,1.03800918424033,4.43781727078691
939,1.75361276046975,1.59997995264277,0.328713591874172,0.503285983380378,0.861248418738316,0.814547421374035,0.848811689454396
935,0.512574776908705,2.75889148105906,0.205838481363441,0.43764817447466,2.38439522503611,1.48143876621493,0.956735668517682
934,2.31794138299303,3.11677577195321,0.0599036161512106,0.473581412405659,1.1356189489367,0.495919945345751,2.5438096871092
938,1.02890772906584,1.1254278997031,0.707892418204186,0.446418095359997,0.878795007663953,0.889383253456258,5.17824392038184
902,1.10418249369073,0.759303168581839,-0.068978389301949,0.341769127404874,1.38150530500072,1.42991559010279,0.217042652313117
906,2.61459383432947,2.34381832747115,0.427706069403436,0.274418394442592,0.911290131543087,0.920116195049511,6.29443480952912
903,0.90288652197312,0.927342042324858,0.6050349912836,0.523252052552424,1.20389656077269,1.03544809649885,1.3738412608825
