subid,gender,trial,run,choice_raw,offer_propoer,conds,RT,offer_recipt,choice,in_outgroup
9151,2,40,2,2,7,3,1.546,5,2,2
9151,2,41,2,0,6,1,0.986,6,1,1
9151,2,42,2,6,12,2,1.762,0,4,1
9151,2,43,2,0,7,1,2.094,5,1,1
9151,2,44,2,6,12,4,1.412,0,4,2
9151,2,45,2,4,9,4,2.235,3,3,2
9151,2,46,2,2,7,1,2.47,5,2,1
9151,2,47,2,2,9,2,1.365,3,2,1
9151,2,48,2,2,9,2,2.196,3,2,1
9151,2,49,2,6,12,4,0.924,0,4,2
9151,2,50,2,0,6,1,0.89,6,1,1
9151,2,51,2,0,6,1,1.158,6,1,1
9151,2,52,2,4,9,2,2.382,3,3,1
9151,2,53,2,2,7,1,1.966,5,2,1
9151,2,54,2,0,6,3,1.77,6,1,2
9151,2,55,2,6,12,2,1.445,0,4,1
9151,2,56,2,0,6,1,0.871,6,1,1
9151,2,57,2,6,12,4,1.157,0,4,2
9151,2,58,2,4,9,4,2.531,3,3,2
9151,2,59,2,0,7,1,4.745,5,1,1
9151,2,60,2,2,7,3,1.907,5,2,2
9151,2,61,2,6,12,4,1.205,0,4,2
9151,2,62,2,0,6,3,0.982,6,1,2
9151,2,63,2,0,6,1,0.885,6,1,1
9151,2,64,2,2,9,2,3.073,3,2,1
9151,2,65,2,0,7,3,3.164,5,1,2
9151,2,66,2,4,9,4,1.97,3,3,2
9151,2,67,2,4,9,2,2.7,3,3,1
9151,2,68,2,0,6,3,1.264,6,1,2
9151,2,69,2,6,12,2,1.8,0,4,1
9151,2,70,2,2,7,1,2.238,5,2,1
9151,2,71,2,0,7,1,0.776,5,1,1
9151,2,72,2,0,7,3,1.411,5,1,2
9101,2,1,2,0,6,3,2.719,6,1,2
9101,2,2,2,0,6,1,2.473,6,1,1
9101,2,3,2,2,9,2,3.498,3,2,1
9101,2,5,2,0,7,1,2.483,5,1,1
9101,2,6,2,2,9,4,3.244,3,2,2
9101,2,7,2,6,12,2,4.939,0,4,1
9101,2,8,2,6,12,4,2.506,0,4,2
9101,2,9,2,0,7,3,2.564,5,1,2
9101,2,10,2,4,9,4,4.227,3,3,2
9101,2,11,2,6,12,4,1.939,0,4,2
9101,2,12,2,0,9,2,3.481,3,1,1
9101,2,13,2,0,7,1,1.07,5,1,1
9101,2,14,2,6,12,4,1.424,0,4,2
9101,2,15,2,6,12,2,1.308,0,4,1
9101,2,16,2,0,7,3,1.412,5,1,2
9101,2,17,2,0,6,1,1.569,6,1,1
9101,2,18,2,4,9,4,1.896,3,3,2
9101,2,19,2,0,6,1,0.968,6,1,1
9101,2,20,2,0,6,3,1.221,6,1,2
9101,2,21,2,6,12,2,1.413,0,4,1
9101,2,22,2,6,12,4,1.173,0,4,2
9101,2,23,2,0,7,1,0.851,5,1,1
9101,2,24,2,2,9,2,2.802,3,2,1
9101,2,25,2,4,9,4,1.541,3,3,2
9101,2,26,2,0,7,3,0.947,5,1,2
9101,2,27,2,0,7,1,0.858,5,1,1
9101,2,28,2,0,6,3,1.026,6,1,2
9101,2,29,2,4,9,4,1.553,3,3,2
9101,2,30,2,2,9,2,2.089,3,2,1
9101,2,31,2,6,12,2,1.27,0,4,1
9101,2,32,2,6,12,4,0.949,0,4,2
9101,2,33,2,4,9,4,2.801,3,3,2
9101,2,34,2,4,9,4,0.903,3,3,2
9101,2,35,2,0,7,1,1.244,5,1,1
9101,2,36,2,0,7,3,0.739,5,1,2
9101,2,37,2,2,9,2,2.374,3,2,1
9101,2,38,2,0,6,3,0.929,6,1,2
9101,2,39,2,2,9,2,2.149,3,2,1
9101,2,40,2,0,6,1,0.906,6,1,1
9101,2,41,2,0,7,1,0.916,5,1,1
9101,2,42,2,0,7,3,1,5,1,2
9101,2,43,2,0,6,1,0.894,6,1,1
9101,2,44,2,0,7,3,0.937,5,1,2
9101,2,45,2,6,12,4,1.276,0,4,2
9101,2,46,2,0,6,1,0.71,6,1,1
9101,2,47,2,0,6,3,1.108,6,1,2
9101,2,48,2,2,9,4,1.302,3,2,2
9101,2,49,2,6,12,2,1.09,0,4,1
9101,2,50,2,2,9,2,1.639,3,2,1
9101,2,51,2,0,6,1,1.05,6,1,1
9101,2,52,2,0,7,1,0.847,5,1,1
9101,2,53,2,0,6,1,0.754,6,1,1
9101,2,54,2,6,12,2,1.159,0,4,1
9101,2,55,2,6,12,4,0.889,0,4,2
9101,2,56,2,0,6,3,0.837,6,1,2
9101,2,57,2,0,7,3,1.1,5,1,2
9101,2,58,2,2,9,2,1.61,3,2,1
9101,2,59,2,0,6,1,0.916,6,1,1
9101,2,60,2,6,12,2,1.406,0,4,1
9101,2,61,2,0,7,3,0.931,5,1,2
9101,2,62,2,2,9,4,0.957,3,2,2
9101,2,63,2,0,7,1,0.984,5,1,1
9101,2,64,2,6,12,2,1.16,0,4,1
9101,2,65,2,0,6,3,0.838,6,1,2
9101,2,66,2,0,7,3,0.841,5,1,2
9101,2,67,2,2,9,2,1.966,3,2,1
9101,2,68,2,0,6,3,0.924,6,1,2
9101,2,69,2,6,12,2,1.099,0,4,1
9101,2,70,2,0,6,3,0.792,6,1,2
9101,2,71,2,6,12,4,0.84,0,4,2
9101,2,72,2,0,7,1,0.85,5,1,1
