word,corr
working memory,0.346
working,0.33
judgment,0.277
memory,0.227
language,0.209
interference,0.208
memory wm,0.205
reading,0.187
task difficulty,0.185
languages,0.184
performance,0.183
conflict,0.181
attentional,0.176
calculation,0.176
retrieval,0.171
semantic,0.204
attention,0.158
wm,0.154
mood,0.147
cognitive control,0.131
comprehension,0.104
memory load,0.099
memory task,0.092
gain,0.088
success,0.085
selective attention,0.081
spatial attention,0.079
conflicting,0.074
target,0.072
