Sub 	 in_12_0 	  in_12_2 	  in_12_4 	  in_12_6  	 in_9_0 	  in_9_2 	  in_9_4 	  in_9_6 	 in_7_0 	  in_7_2 	  in_7_4 	  in_7_6 	 in_6_0 	  in_6_2 	  in_6_4 	  in_6_6 	  out_12_0 	  out_12_2 	  out_12_4 	  out_12_6  	 out_9_0 	  out_9_2 	  out_9_4 	  out_9_6 	 out_7_0 	  out_7_2 	  out_7_4 	  out_7_6 	 out_6_0 	  out_6_2 	  out_6_4 	  out_6_6  
MS_5_9	0.0556	0.2222	0.7222	0.0000	0.0000	0.8333	0.1667	0.0000	0.8889	0.0556	0.0556	0.0000	0.9444	0.0000	0.0000	0.0556	0.0000	0.0000	0.0000	1.0000	0.1111	0.0000	0.8889	0.0000	0.0556	0.1667	0.6667	0.1111	0.0000	0.0000	0.9444	0.0556	
MS_8_9	0.0000	0.0000	0.9444	0.0556	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2222	0.7778	0.0000	0.0556	0.9444	0.0000	0.0556	0.9444	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
MS_9_9	0.3333	0.6667	0.0000	0.0000	0.8889	0.1111	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.4444	0.5556	0.0000	0.0556	0.9444	0.0000	0.0000	0.6667	0.3333	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	
NA_10_	0.0000	0.0000	0.0000	1.0000	0.0000	0.8333	0.1667	0.0000	0.2778	0.7222	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0556	0.9444	0.0556	0.2222	0.7222	0.0000	0.3889	0.6111	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	
NA_10_	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.8889	0.0556	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.1111	0.5556	0.3333	0.0000	0.3889	0.6111	0.0000	0.2222	0.7778	0.0000	0.0000	0.2222	0.7778	0.0000	0.0000	
NA_12_	0.0000	0.0000	0.0000	1.0000	0.0556	0.9444	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.0000	0.9444	0.0000	0.6667	0.3333	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_12_	0.1667	0.0556	0.5556	0.2222	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.8889	0.1111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_14_	0.5000	0.2222	0.0556	0.2222	0.7778	0.1111	0.1111	0.0000	0.8333	0.0000	0.1667	0.0000	0.7778	0.0556	0.1667	0.0000	0.0556	0.1667	0.6111	0.1667	0.4444	0.2778	0.1111	0.1667	0.3889	0.3333	0.1667	0.1111	0.5556	0.1667	0.2222	0.0556	
NA_14_	0.1111	0.8333	0.0556	0.0000	0.7222	0.2778	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.2778	0.0000	0.7222	0.0000	0.1111	0.8889	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_15_	0.0556	0.0000	0.8889	0.0556	0.0556	0.8333	0.1111	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8889	0.1111	0.0000	0.8889	0.1111	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_15_	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_18_	0.0000	0.0000	0.6111	0.3889	0.0000	0.6667	0.3333	0.0000	0.3889	0.6111	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	0.1111	0.0556	0.3889	0.4444	0.0556	0.7222	0.2222	0.0000	0.3333	0.5000	0.1667	0.0000	0.9444	0.0556	0.0000	0.0000	
NA_18_	0.2778	0.6667	0.0556	0.0000	0.3889	0.6111	0.0000	0.0000	0.8889	0.1111	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	0.0556	0.3889	0.1111	0.4444	0.2222	0.2222	0.5000	0.0556	0.2222	0.4444	0.2778	0.0556	0.3333	0.2778	0.3333	0.0556	
NA_20_	0.1667	0.7778	0.0556	0.0000	0.2222	0.7222	0.0556	0.0000	0.8333	0.1667	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0556	0.6667	0.2778	0.0000	0.7778	0.1667	0.0556	0.0000	0.8889	0.0556	0.0556	
NA_20_	0.0000	0.3889	0.5556	0.0556	0.2222	0.7222	0.0556	0.0000	0.8889	0.1111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.6667	0.0000	0.3333	0.6667	0.0000	0.2778	0.6111	0.1111	0.0000	0.4444	0.5556	0.0000	0.0000	
NA_22_	0.2778	0.0000	0.2778	0.4444	0.0556	0.8333	0.1111	0.0000	0.6667	0.3333	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	0.1111	0.0000	0.1667	0.7222	0.0000	0.3333	0.6667	0.0000	0.1667	0.7778	0.0556	0.0000	0.7778	0.0556	0.0000	0.1667	
NA_22_	0.0000	0.8889	0.1111	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0556	0.9444	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	
NA_23_	0.5556	0.3333	0.1111	0.0000	0.6667	0.2222	0.1111	0.0000	0.2222	0.7222	0.0556	0.0000	0.2222	0.6667	0.1111	0.0000	0.4444	0.3889	0.1667	0.0000	0.6111	0.2778	0.1111	0.0000	0.6111	0.3889	0.0000	0.0000	0.0000	0.8333	0.0556	0.1111	
NA_23_	0.2222	0.0000	0.0556	0.7222	0.1667	0.0556	0.6667	0.1111	0.3333	0.6111	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	0.1111	0.0000	0.0000	0.8889	0.2222	0.0556	0.6667	0.0556	0.0556	0.9444	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_25_	0.1667	0.0556	0.6667	0.1111	0.0000	0.3889	0.5556	0.0556	0.1111	0.5556	0.2778	0.0556	0.0556	0.7222	0.2222	0.0000	0.0000	0.0556	0.5556	0.3889	0.1111	0.1111	0.5000	0.2778	0.0000	0.1111	0.8889	0.0000	0.0000	0.4444	0.5000	0.0556	
NA_25_	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.0556	0.8889	0.0556	0.3333	0.6111	0.0000	0.0556	0.8889	0.0556	0.0000	0.1667	0.8333	0.0000	0.0000	
NA_27_	0.9444	0.0000	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	0.0000	0.0000	0.2222	0.7778	0.0556	0.6667	0.2222	0.0556	0.0000	0.6667	0.3333	0.0000	0.3333	0.2222	0.4444	0.0000	
NA_27_	0.0000	0.0000	0.0000	1.0000	0.0556	0.3889	0.5556	0.0000	0.1667	0.8333	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.1111	0.0000	0.0000	0.8889	0.1111	0.5556	0.3333	0.0000	0.2778	0.7222	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_29_	0.0000	0.0000	0.9444	0.0556	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0556	0.9444	0.0000	0.1111	0.8889	0.0000	0.3889	0.6111	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	
NA_29_	0.1667	0.8333	0.0000	0.0000	0.2222	0.7778	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.1111	0.8889	0.0000	0.0000	0.1111	0.8889	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_2_9	0.0000	0.0000	0.8333	0.1667	0.0000	0.9444	0.0556	0.0000	0.8333	0.1667	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1667	0.8333	0.0000	0.4444	0.5556	0.0000	0.2778	0.7222	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	
NA_2_9	0.0000	0.0000	0.0000	1.0000	0.0556	0.1111	0.8333	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.0000	0.9444	0.1667	0.0000	0.8333	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_31_	0.9444	0.0556	0.0000	0.0000	0.8889	0.1111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.5000	0.0556	0.2222	0.2222	0.0000	0.2222	0.7778	0.0000	0.1667	0.8333	0.0000	0.0000	0.0000	0.8889	0.1111	0.0000	
NA_31_	0.1111	0.0000	0.0000	0.8889	0.1667	0.8333	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.0000	0.9444	0.0556	0.9444	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_33_	0.0000	0.0000	0.0000	1.0000	0.0556	0.2778	0.6667	0.0000	0.3333	0.6667	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0556	0.9444	0.0000	0.1111	0.8333	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_33_	0.0556	0.0000	0.0000	0.9444	0.0000	0.1667	0.8333	0.0000	0.1111	0.7222	0.1111	0.0556	1.0000	0.0000	0.0000	0.0000	0.1667	0.0000	0.0000	0.8333	0.0556	0.1111	0.8333	0.0000	0.1111	0.8333	0.0556	0.0000	0.9444	0.0556	0.0000	0.0000	
NA_35_	0.1667	0.2778	0.5556	0.0000	0.0556	0.7778	0.1667	0.0000	0.7222	0.2778	0.0000	0.0000	0.8333	0.0556	0.1111	0.0000	0.1667	0.2222	0.6111	0.0000	0.2222	0.7778	0.0000	0.0000	0.7778	0.2222	0.0000	0.0000	0.6667	0.3333	0.0000	0.0000	
NA_35_	0.0000	0.9444	0.0000	0.0556	0.6111	0.3889	0.0000	0.0000	0.9444	0.0000	0.0000	0.0556	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0556	0.9444	0.0000	0.0000	0.3333	0.6111	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_37_	0.1111	0.3889	0.5000	0.0000	0.3889	0.5000	0.1111	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.3333	0.5556	0.0556	0.3889	0.6111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_37_	0.0000	0.0000	0.0000	1.0000	0.1111	0.2778	0.5556	0.0556	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.3333	0.6667	0.0000	0.0556	0.9444	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_38_	0.8889	0.0556	0.0000	0.0556	0.8889	0.1111	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.1111	0.0556	0.0556	0.7778	0.1111	0.8333	0.0556	0.0000	0.0556	0.9444	0.0000	0.0000	0.2778	0.7222	0.0000	0.0000	
NA_38_	0.0000	0.0000	0.0000	1.0000	0.0000	0.1667	0.8333	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.1111	0.8889	0.0000	0.8333	0.1667	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_4_9	0.8889	0.0000	0.0556	0.0556	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0556	0.0000	0.0000	0.9444	0.1667	0.0000	0.0556	0.7778	0.0556	0.0000	0.1111	0.8333	0.0556	0.0000	0.3333	0.6111	
NA_4_9	0.2222	0.2778	0.1667	0.3333	0.1667	0.2222	0.3333	0.2778	0.0556	0.2222	0.4444	0.2778	0.2778	0.1667	0.4444	0.1111	0.3889	0.6111	0.0000	0.0000	0.1667	0.4444	0.3333	0.0556	0.2222	0.7222	0.0556	0.0000	0.2222	0.5000	0.2778	0.0000	
NA_6_9	0.1111	0.1667	0.7222	0.0000	0.1111	0.8333	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0556	0.8333	0.1111	0.0556	0.7778	0.1667	0.0000	0.8889	0.1111	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_6_9	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_7_9	0.1111	0.6667	0.2222	0.0000	1.0000	0.0000	0.0000	0.0000	0.9444	0.0556	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0556	0.4444	0.5000	0.7778	0.2222	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	
NA_7_9	0.0000	0.0000	0.9444	0.0556	0.0556	0.8889	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2222	0.7778	0.1111	0.8333	0.0556	0.0000	1.0000	0.0000	0.0000	0.0000	0.9444	0.0000	0.0556	0.0000	
