Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
02-Nov-2017	sub212	910	  1	  1	  1	 0.00	  9	  2	 0.000	 0.013	 0.494	 3.379	 6.496	 2.869	2643.003	
02-Nov-2017	sub212	910	  1	  2	  1	 0.00	  7	  3	 8.270	 8.270	 8.767	12.066	14.769	 3.292	2643.003	
02-Nov-2017	sub212	910	  1	  3	  1	 0.00	  6	  1	20.015	20.008	20.522	23.373	26.523	 2.849	2643.003	
02-Nov-2017	sub212	910	  1	  4	  1	 0.00	 12	  2	32.169	32.177	32.674	 0.000	38.676	 0.000	2643.003	
02-Nov-2017	sub212	910	  1	  5	  1	 0.00	  7	  1	44.110	44.113	44.611	47.429	50.612	 2.816	2643.003	
02-Nov-2017	sub212	910	  1	  6	  1	 0.00	  6	  1	55.939	55.934	56.432	58.454	62.433	 2.018	2643.003	
02-Nov-2017	sub212	910	  1	  7	  1	 0.00	  6	  3	69.027	69.032	69.529	71.319	75.531	 1.784	2643.003	
02-Nov-2017	sub212	910	  1	  8	  1	 2.00	 12	  2	78.047	78.051	78.548	82.477	84.549	 3.917	2643.003	
02-Nov-2017	sub212	910	  1	  9	  1	 0.00	  7	  3	86.913	86.920	87.418	89.589	93.419	 2.160	2643.003	
02-Nov-2017	sub212	910	  1	 10	  1	 0.00	  9	  4	95.596	95.591	96.088	99.603	102.090	 3.505	2643.003	
02-Nov-2017	sub212	910	  1	 11	  1	 0.00	  9	  4	104.158	104.162	104.660	107.163	110.661	 2.493	2643.003	
02-Nov-2017	sub212	910	  1	 12	  1	 0.00	  9	  2	113.265	113.264	113.762	115.734	119.763	 1.959	2643.003	
02-Nov-2017	sub212	910	  1	 13	  1	 0.00	  6	  3	123.707	123.709	124.206	126.594	130.208	 2.370	2643.003	
02-Nov-2017	sub212	910	  1	 14	  1	 6.00	 12	  4	135.732	135.729	136.226	141.332	142.228	 5.094	2643.003	
02-Nov-2017	sub212	910	  1	 15	  1	 0.00	  7	  3	147.519	147.516	148.014	149.555	154.015	 1.531	2643.003	
02-Nov-2017	sub212	910	  1	 16	  1	 0.00	  7	  3	156.844	156.850	157.348	158.823	163.349	 1.469	2643.003	
02-Nov-2017	sub212	910	  1	 17	  1	 6.00	 12	  4	166.587	166.582	167.063	169.152	173.081	 2.057	2643.003	
02-Nov-2017	sub212	910	  1	 18	  1	 0.00	  7	  1	177.194	177.193	177.690	179.116	183.692	 1.414	2643.003	
02-Nov-2017	sub212	910	  1	 19	  1	 0.00	  6	  3	186.832	186.825	187.339	188.980	193.341	 1.637	2643.003	
02-Nov-2017	sub212	910	  1	 20	  1	 4.00	 12	  2	194.992	194.999	195.496	198.231	201.498	 2.727	2643.003	
02-Nov-2017	sub212	910	  1	 21	  1	 0.00	  9	  4	207.331	207.333	207.831	211.064	213.832	 3.225	2643.003	
02-Nov-2017	sub212	910	  1	 22	  1	 4.00	 12	  2	219.535	219.535	220.033	221.956	226.034	 1.911	2643.003	
02-Nov-2017	sub212	910	  1	 23	  1	 6.00	 12	  4	230.726	230.726	231.224	233.429	237.225	 2.192	2643.003	
02-Nov-2017	sub212	910	  1	 24	  1	 0.00	  9	  2	239.293	239.297	239.795	242.232	245.796	 2.420	2643.003	
02-Nov-2017	sub212	910	  1	 25	  1	 6.00	 12	  2	250.510	250.505	251.019	254.285	257.004	 3.252	2643.003	
02-Nov-2017	sub212	910	  1	 26	  1	 0.00	  6	  1	259.919	259.922	260.419	261.928	266.421	 1.491	2643.003	
02-Nov-2017	sub212	910	  1	 27	  1	 6.00	 12	  4	268.279	268.277	268.775	271.262	274.776	 2.472	2643.003	
02-Nov-2017	sub212	910	  1	 28	  1	 4.00	 12	  2	279.436	279.435	279.932	282.801	285.934	 2.866	2643.003	
