Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
13-Oct-2017	sub202	907	  1	  1	  1	 0.00	  6	  3	 0.000	 0.017	 0.498	 5.753	 6.499	 5.241	7604.968	
13-Oct-2017	sub202	907	  1	  2	  1	 0.00	  6	  1	10.465	10.461	10.959	12.633	16.960	 1.659	7604.968	
13-Oct-2017	sub202	907	  1	  3	  1	 4.00	  9	  2	18.462	18.469	18.966	22.746	24.968	 3.771	7604.968	
13-Oct-2017	sub202	907	  1	  4	  1	 6.00	 12	  4	30.796	30.804	31.301	33.323	37.302	 2.020	7604.968	
13-Oct-2017	sub202	907	  1	  5	  1	 2.00	  7	  1	43.034	43.039	43.536	47.283	49.537	 3.738	7604.968	
13-Oct-2017	sub202	907	  1	  6	  1	 4.00	  9	  4	51.611	51.610	52.107	55.638	58.109	 3.525	7604.968	
13-Oct-2017	sub202	907	  1	  7	  1	 6.00	 12	  2	64.051	64.044	64.558	66.348	70.559	 1.787	7604.968	
13-Oct-2017	sub202	907	  1	  8	  1	 6.00	 12	  4	74.566	74.571	75.069	76.544	81.070	 1.459	7604.968	
13-Oct-2017	sub202	907	  1	  9	  1	 2.00	  7	  3	84.269	84.270	84.767	88.962	90.769	 4.177	7604.968	
13-Oct-2017	sub202	907	  1	 10	  1	 4.00	  9	  4	92.684	92.692	93.189	97.765	99.191	 4.562	7604.968	
13-Oct-2017	sub202	907	  1	 11	  1	 6.00	 12	  4	101.482	101.478	101.976	103.551	107.977	 1.567	7604.968	
13-Oct-2017	sub202	907	  1	 12	  1	 2.00	  9	  2	112.619	112.619	113.117	115.222	119.118	 2.099	7604.968	
13-Oct-2017	sub202	907	  1	 13	  1	 2.00	  7	  1	120.698	120.693	121.191	123.528	127.192	 2.320	7604.968	
13-Oct-2017	sub202	907	  1	 14	  1	 6.00	 12	  4	130.751	130.756	131.254	132.381	137.255	 1.113	7604.968	
13-Oct-2017	sub202	907	  1	 15	  1	 6.00	 12	  2	141.733	141.732	142.229	143.870	148.230	 1.626	7604.968	
13-Oct-2017	sub202	907	  1	 16	  1	 2.00	  7	  3	153.757	153.751	154.265	156.735	160.250	 2.461	7604.968	
13-Oct-2017	sub202	907	  1	 17	  1	 0.00	  6	  1	162.020	162.024	162.521	164.113	168.523	 1.580	7604.968	
13-Oct-2017	sub202	907	  1	 18	  1	 4.00	  9	  4	171.409	171.407	171.905	175.602	177.906	 3.684	7604.968	
13-Oct-2017	sub202	907	  1	 19	  1	 0.00	  6	  1	179.441	179.448	179.945	180.990	185.947	 1.036	7604.968	
13-Oct-2017	sub202	907	  1	 20	  1	 0.00	  6	  3	190.021	190.025	190.523	191.551	196.524	 1.027	7604.968	
13-Oct-2017	sub202	907	  1	 21	  1	 6.00	 12	  2	200.889	200.884	201.382	202.426	207.383	 1.039	7604.968	
13-Oct-2017	sub202	907	  1	 22	  1	 6.00	 12	  4	210.809	210.815	211.312	212.655	217.314	 1.340	7604.968	
13-Oct-2017	sub202	907	  1	 23	  1	 2.00	  7	  1	222.904	222.901	223.398	224.890	229.400	 1.478	7604.968	
13-Oct-2017	sub202	907	  1	 24	  1	 4.00	  9	  2	232.261	232.268	232.765	234.854	238.767	 2.079	7604.968	
13-Oct-2017	sub202	907	  1	 25	  1	 4.00	  9	  4	244.432	244.437	244.934	246.244	250.935	 1.293	7604.968	
13-Oct-2017	sub202	907	  1	 26	  1	 2.00	  7	  3	255.540	255.544	256.042	257.915	262.043	 1.857	7604.968	
13-Oct-2017	sub202	907	  1	 27	  1	 2.00	  7	  1	268.923	268.923	269.421	271.360	275.422	 1.926	7604.968	
13-Oct-2017	sub202	907	  1	 28	  1	 0.00	  6	  3	281.337	281.341	281.838	283.164	287.840	 1.316	7604.968	
13-Oct-2017	sub202	907	  1	 29	  1	 4.00	  9	  4	289.370	289.365	289.879	292.200	295.864	 2.315	7604.968	
13-Oct-2017	sub202	907	  1	 30	  1	 4.00	  9	  2	301.985	301.981	302.479	303.888	308.480	 1.403	7604.968	
13-Oct-2017	sub202	907	  1	 31	  1	 6.00	 12	  2	310.457	310.453	310.950	313.984	316.952	 3.018	7604.968	
13-Oct-2017	sub202	907	  1	 32	  1	 6.00	 12	  4	320.958	320.964	321.461	322.456	327.463	 0.980	7604.968	
13-Oct-2017	sub202	907	  1	 33	  1	 4.00	  9	  4	328.913	328.922	329.419	330.629	335.420	 1.197	7604.968	
13-Oct-2017	sub202	907	  1	 34	  1	 0.00	  9	  4	338.109	338.106	338.604	 0.000	344.605	 0.000	7604.968	
13-Oct-2017	sub202	907	  1	 35	  1	 2.00	  7	  1	350.009	350.010	350.507	352.281	356.509	 1.765	7604.968	
13-Oct-2017	sub202	907	  1	 36	  1	 2.00	  7	  3	358.613	358.614	359.111	363.671	365.113	 4.544	7604.968	
13-Oct-2017	sub202	907	  1	 37	  1	 4.00	  9	  2	367.529	367.533	368.031	369.473	374.032	 1.433	7604.968	
13-Oct-2017	sub202	907	  1	 38	  1	 0.00	  6	  3	380.053	380.050	380.548	382.172	386.549	 1.612	7604.968	
13-Oct-2017	sub202	907	  1	 39	  1	 4.00	  9	  2	390.470	390.478	390.976	393.777	396.977	 2.799	7604.968	
13-Oct-2017	sub202	907	  1	 40	  1	 0.00	  6	  1	403.340	403.343	403.841	404.719	409.842	 0.861	7604.968	
13-Oct-2017	sub202	907	  1	 41	  1	 2.00	  7	  1	415.499	415.496	415.993	417.618	421.994	 1.621	7604.968	
13-Oct-2017	sub202	907	  1	 42	  1	 2.00	  7	  3	427.237	427.233	427.731	428.609	433.732	 0.867	7604.968	
13-Oct-2017	sub202	907	  1	 43	  1	 0.00	  6	  1	440.073	440.082	440.579	441.292	446.581	 0.698	7604.968	
13-Oct-2017	sub202	907	  1	 44	  1	 2.00	  7	  3	449.546	449.548	450.046	451.223	456.047	 1.167	7604.968	
13-Oct-2017	sub202	907	  1	 45	  1	 6.00	 12	  4	461.119	461.120	461.617	462.894	467.619	 1.259	7604.968	
