Date 	 Name 	 ID 	 gender 	 Trial 	 RUN 	 Decision 	 OfferType 	 Condition 	 onstrial 	 ronsfix 	 ronsdec 	 ronsdec2 	 onsjitter 	 RT 	 GameOn 	 
13-Sep-2013	sub133	939	  2	  1	  1	 0.00	  6	  3	 0.000	 0.018	 0.502	 2.356	 6.497	 1.837	7196.474	
13-Sep-2013	sub133	939	  2	  2	  1	 0.00	  6	  1	10.465	10.472	10.973	12.158	16.968	 1.174	7196.474	
13-Sep-2013	sub133	939	  2	  3	  1	 4.00	  9	  2	18.462	18.471	18.955	21.143	24.967	 2.184	7196.474	
13-Sep-2013	sub133	939	  2	  4	  1	 6.00	 12	  4	30.796	30.795	31.296	32.933	37.292	 1.618	7196.474	
13-Sep-2013	sub133	939	  2	  5	  1	 2.00	  7	  1	43.034	43.036	43.537	45.475	49.532	 1.921	7196.474	
13-Sep-2013	sub133	939	  2	  6	  1	 4.00	  9	  4	51.611	51.603	52.104	54.542	58.116	 2.434	7196.474	
13-Sep-2013	sub133	939	  2	  7	  1	 6.00	 12	  2	64.051	64.045	64.546	66.065	70.558	 1.505	7196.474	
13-Sep-2013	sub133	939	  2	  8	  1	 6.00	 12	  4	74.566	74.566	75.067	76.169	81.061	 1.088	7196.474	
13-Sep-2013	sub133	939	  2	  9	  1	 2.00	  7	  3	84.269	84.268	84.769	88.192	90.764	 3.418	7196.474	
13-Sep-2013	sub133	939	  2	 10	  1	 4.00	  9	  4	92.684	92.685	93.186	96.158	99.181	 2.969	7196.474	
13-Sep-2013	sub133	939	  2	 11	  1	 6.00	 12	  4	101.482	101.486	101.987	102.821	107.982	 0.832	7196.474	
13-Sep-2013	sub133	939	  2	 12	  1	 0.00	  9	  2	112.619	112.624	113.125	115.597	119.120	 2.454	7196.474	
13-Sep-2013	sub133	939	  2	 13	  1	 0.00	  7	  1	120.698	120.690	121.191	123.129	127.203	 1.924	7196.474	
13-Sep-2013	sub133	939	  2	 14	  1	 6.00	 12	  4	130.751	130.743	131.244	132.113	137.257	 0.862	7196.474	
13-Sep-2013	sub133	939	  2	 15	  1	 6.00	 12	  2	141.733	141.732	142.233	143.769	148.228	 1.530	7196.474	
13-Sep-2013	sub133	939	  2	 16	  1	 0.00	  7	  3	153.757	153.756	154.257	156.027	160.252	 1.754	7196.474	
13-Sep-2013	sub133	939	  2	 17	  1	 0.00	  6	  1	162.020	162.022	162.523	164.026	168.519	 1.487	7196.474	
